,RMSE,MAE
LEAFC,3.934178595762203,2.198855642235429
LEAFN,0.15058411579122177,0.08401540159245433
H2OSNO,1.0549230690337335,0.47036098003971355
H2OSOI,0.003913696816446519,0.0017544142379714075
